epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.6671,1.34563,1.81503,1.79477,0.45729,0.50992,0.39443,0.14362,2.18084,2.61125,2.98554,0.000663768,0.000663768,0.000663768
2,144.344,1.44753,1.52508,1.84926,0.6521,0.54613,0.59121,0.28558,1.73627,1.7215,2.5287,0.00132165,0.00132165,0.00132165
3,210.19,1.45232,1.47957,1.85577,0.39871,0.45387,0.35767,0.12012,2.10171,2.55714,2.74455,0.00197074,0.00197074,0.00197074
4,277.784,1.41671,1.40117,1.80877,0.80832,0.67897,0.75019,0.34548,1.74106,1.44863,2.4531,0.0019604,0.0019604,0.0019604
5,345.295,1.38086,1.34094,1.78479,0.81108,0.71587,0.73785,0.32725,1.7214,1.4502,2.58487,0.0019472,0.0019472,0.0019472
6,413.197,1.32257,1.27419,1.72848,0.76823,0.75834,0.78101,0.42801,1.47911,1.23309,2.11891,0.001934,0.001934,0.001934
7,479.335,1.29004,1.23116,1.7053,0.75484,0.631,0.7004,0.3714,1.56454,1.45514,2.16833,0.0019208,0.0019208,0.0019208
8,546.815,1.28364,1.23349,1.69799,0.76583,0.73063,0.7414,0.39265,1.51919,1.21906,2.18891,0.0019076,0.0019076,0.0019076
9,614.17,1.21634,1.16787,1.65288,0.5999,0.50923,0.54463,0.25765,1.7896,1.83094,2.29058,0.0018944,0.0018944,0.0018944
10,682.131,1.20846,1.15427,1.64599,0.82426,0.70958,0.77158,0.41637,1.53588,1.25091,2.12684,0.0018812,0.0018812,0.0018812
11,748.052,1.16909,1.1032,1.61246,0.74925,0.64207,0.70274,0.37129,1.54282,1.37637,2.08235,0.001868,0.001868,0.001868
12,815.508,1.16129,1.10632,1.60137,0.79881,0.73063,0.76953,0.42129,1.51289,1.25731,2.02379,0.0018548,0.0018548,0.0018548
13,883.505,1.13926,1.08332,1.58795,0.78884,0.69742,0.73571,0.38342,1.51264,1.31596,2.0868,0.0018416,0.0018416,0.0018416
14,953.636,1.12433,1.05307,1.57716,0.82739,0.74292,0.80672,0.4492,1.48816,1.13787,2.06025,0.0018284,0.0018284,0.0018284
15,1020.77,1.10917,1.03976,1.56843,0.81079,0.75901,0.80708,0.42395,1.59418,1.22321,2.11977,0.0018152,0.0018152,0.0018152
16,1088.26,1.10532,1.0379,1.55649,0.79755,0.68266,0.76128,0.42342,1.40769,1.23013,1.98597,0.001802,0.001802,0.001802
17,1156.54,1.08683,1.01153,1.54708,0.8309,0.74338,0.80505,0.46116,1.43496,1.03015,2.013,0.0017888,0.0017888,0.0017888
18,1225.04,1.08318,1.01188,1.54433,0.86507,0.73338,0.79928,0.43742,1.54266,1.20145,2.116,0.0017756,0.0017756,0.0017756
19,1293.53,1.06786,0.99986,1.53464,0.82753,0.78598,0.78422,0.45831,1.37919,1.06491,2.01593,0.0017624,0.0017624,0.0017624
20,1359.97,1.07946,0.99771,1.53351,0.85757,0.80812,0.83489,0.48615,1.39927,1.05907,1.97644,0.0017492,0.0017492,0.0017492
21,1428.71,1.05863,0.97858,1.52556,0.84428,0.78598,0.82037,0.48594,1.40296,1.13703,1.98376,0.001736,0.001736,0.001736
22,1498.82,1.05224,0.98318,1.51603,0.84971,0.7786,0.80584,0.45606,1.40947,1.04118,2.03898,0.0017228,0.0017228,0.0017228
23,1567.9,1.03595,0.95762,1.50638,0.84839,0.79336,0.83504,0.48934,1.4329,1.09716,2.02398,0.0017096,0.0017096,0.0017096
24,1636,1.02321,0.9476,1.49772,0.76384,0.64451,0.72619,0.40423,1.47475,1.26525,2.03933,0.0016964,0.0016964,0.0016964
25,1704.69,1.03229,0.94617,1.49769,0.81574,0.76384,0.76622,0.43002,1.48238,1.01927,2.13045,0.0016832,0.0016832,0.0016832
26,1771.69,1.00717,0.93108,1.49179,0.8275,0.77888,0.80975,0.49144,1.33289,1.02297,1.94376,0.00167,0.00167,0.00167
27,1838.65,1.01026,0.93392,1.49019,0.84929,0.8155,0.83527,0.50696,1.29903,0.9611,1.94551,0.0016568,0.0016568,0.0016568
28,1906.88,0.99352,0.90156,1.46962,0.79341,0.76526,0.80219,0.47058,1.37491,1.1125,1.95536,0.0016436,0.0016436,0.0016436
29,1974.94,0.99668,0.8938,1.46834,0.83159,0.78352,0.83561,0.48364,1.35004,1.04318,1.89918,0.0016304,0.0016304,0.0016304
30,2041.54,0.99132,0.88835,1.46626,0.86727,0.78598,0.8338,0.49373,1.32963,1.02448,1.90746,0.0016172,0.0016172,0.0016172
31,2107.94,0.97409,0.8998,1.46124,0.80791,0.78598,0.82039,0.47551,1.44817,1.06741,2.01603,0.001604,0.001604,0.001604
32,2176.79,0.98721,0.91271,1.47247,0.83377,0.81181,0.83372,0.50763,1.36744,0.98473,1.95061,0.0015908,0.0015908,0.0015908
33,2245.54,0.98144,0.89159,1.4622,0.85384,0.78967,0.8266,0.49314,1.3994,1.01668,1.9794,0.0015776,0.0015776,0.0015776
34,2313.65,0.96718,0.88403,1.45441,0.86527,0.79336,0.84623,0.50794,1.33585,0.96326,1.9007,0.0015644,0.0015644,0.0015644
35,2380.48,0.97352,0.89066,1.45416,0.86998,0.79705,0.84731,0.50826,1.37583,0.9721,1.92645,0.0015512,0.0015512,0.0015512
36,2448.47,0.95346,0.86785,1.4433,0.86285,0.76753,0.83687,0.50758,1.36712,0.95008,1.97846,0.001538,0.001538,0.001538
37,2516.54,0.95569,0.87364,1.44563,0.84927,0.80812,0.84034,0.51224,1.30233,0.93977,1.84757,0.0015248,0.0015248,0.0015248
38,2584.64,0.9427,0.84969,1.43917,0.8626,0.78769,0.82781,0.5134,1.27386,0.8755,1.86966,0.0015116,0.0015116,0.0015116
39,2652.94,0.93612,0.85251,1.42549,0.84311,0.79705,0.84929,0.5131,1.30698,0.94646,1.86103,0.0014984,0.0014984,0.0014984
40,2720.22,0.938,0.8459,1.43805,0.83279,0.79026,0.79963,0.48212,1.30968,1.01286,1.94412,0.0014852,0.0014852,0.0014852
41,2788.11,0.93993,0.85327,1.42665,0.84552,0.8281,0.85298,0.50032,1.4178,0.95613,2.00289,0.001472,0.001472,0.001472
42,2857.14,0.93179,0.84101,1.42039,0.83542,0.8155,0.84974,0.52328,1.32389,0.91758,1.92629,0.0014588,0.0014588,0.0014588
43,2925.82,0.92517,0.83322,1.42548,0.80497,0.83768,0.84531,0.53087,1.26552,0.92344,1.86117,0.0014456,0.0014456,0.0014456
44,2992.72,0.93611,0.8549,1.43188,0.89667,0.81919,0.85277,0.52538,1.3315,0.88727,1.91917,0.0014324,0.0014324,0.0014324
45,3061.7,0.93325,0.82195,1.4268,0.85457,0.79336,0.83705,0.51409,1.30298,0.97571,1.87589,0.0014192,0.0014192,0.0014192
46,3129.74,0.92179,0.82846,1.42239,0.8562,0.79096,0.83087,0.50176,1.26179,0.93451,1.85942,0.001406,0.001406,0.001406
47,3198.69,0.9177,0.81753,1.41362,0.82781,0.78057,0.83499,0.49885,1.32498,1.07508,1.89215,0.0013928,0.0013928,0.0013928
